strategy,scenario_id,drone_capacity,no_customers,total_time,A,drone_travel_distance,truck_travel_distance,X1,X2,utilization,avg_package_wait_time,avg_customer_wait_time,total_delay_time,avg_span_2,avg_span_3,avg_span_4,avg_nodropoffs_2,avg_nodropoffs_3,avg_nodropoffs_4
farthest_package_first_MPA,1,4,200,25503,25377,92442.18,6335.12,43776,34168,0.26,6853.73,6813.48,25080,297.09,85.42,664.0,0.61,0.36,0.5
farthest_package_first_MPA,2,4,200,26030,25885,88609.22,8136.58,40880,33781,0.28,6804.0,6547.45,25080,657.44,12.86,324.5,0.67,0.38,0.5
farthest_package_first_MPA,3,4,200,26383,26234,81090.03,6280.9,36637,32917,0.3,6764.65,6121.5,24960,1247.09,0.0,734.0,0.68,0.33,0.5
farthest_package_first_MPA,4,4,200,41261,41131,104337.34,6452.52,51641,36075,0.23,10541.89,9984.45,25800,263.26,0.0,324.25,0.68,0.33,0.5
farthest_package_first_MPA,5,4,200,27363,27228,89931.3,6314.12,42421,34155,0.27,7045.16,7080.14,25320,375.86,1577.5,234.67,0.71,0.67,0.5
farthest_package_first_MPA,6,4,200,23386,23245,81095.62,7806.99,36038,33627,0.31,6014.22,5855.7,25680,627.05,155.5,1139.5,0.76,0.5,0.5
farthest_package_first_MPA,7,4,200,24238,24108,91027.67,5810.8,42654,34266,0.27,7121.85,6774.65,25320,98.12,218.0,224.75,0.66,0.42,0.5
farthest_package_first_MPA,8,4,200,26984,26850,86682.01,6031.22,39693,33356,0.28,6586.19,6788.31,24840,250.83,80.57,219.5,0.61,0.38,0.5
farthest_package_first_MPA,9,4,200,33624,33500,95481.51,6306.67,46416,34946,0.25,7990.63,8053.64,25560,241.32,149.88,298.0,0.68,0.42,0.5
farthest_package_first_MPA,0,4,500,66578,66414,176196.62,13954.83,118679,80421,0.23,22406.59,22856.8,63240,445.91,80.76,189.09,0.64,0.37,0.48
farthest_package_first_MPA,1,4,500,70110,70012,169866.32,14038.29,114614,78979,0.23,22690.24,21611.45,62400,422.37,0.0,473.78,0.6,0.33,0.47
farthest_package_first_MPA,2,4,500,69476,69312,175576.55,15682.28,119418,80966,0.23,23423.2,23132.86,63840,377.37,204.89,386.83,0.65,0.4,0.5
farthest_package_first_MPA,3,4,500,60658,60575,174300.49,16075.43,118087,79267,0.22,22263.32,22094.64,62280,187.97,136.73,329.33,0.64,0.42,0.46
farthest_package_first_MPA,4,4,500,59046,58868,169555.44,14443.05,114298,79048,0.23,21688.58,21964.77,62520,553.55,18.09,219.0,0.61,0.35,0.48
farthest_package_first_MPA,5,4,500,62477,62370,176449.91,16431.82,119227,80206,0.22,23001.81,23255.82,63000,415.18,550.65,106.88,0.67,0.45,0.47
farthest_package_first_MPA,6,4,500,60311,60204,169922.99,16185.93,114293,79411,0.23,22717.69,22609.57,62880,416.21,24.95,208.78,0.66,0.37,0.44
farthest_package_first_MPA,7,4,500,62536,62364,172470.39,14908.34,116546,79446,0.23,22696.24,22420.41,62640,459.98,46.53,648.43,0.64,0.37,0.46
farthest_package_first_MPA,8,4,500,66987,66875,179341.84,16151.91,120891,80732,0.22,23306.98,23701.05,63240,229.9,691.89,570.46,0.61,0.41,0.48
