strategy,scenario_id,drone_capacity,no_customers,total_time,package_delivery_time,drone_travel_distance,truck_travel_distance,total_cluster_time,total_active_time,utilization,avg_package_wait_time,avg_customer_wait_time,total_delay_time,avg_span_2,avg_span_3,avg_span_4,avg_nodropoffs_2,avg_nodropoffs_3,avg_nodropoffs_4,no_preventions
farthest_package_first_MPA,7,4,50,1819,1701,26024.57,2737.84,2975,8566,0.96,911.17,890.72,6000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,8,4,50,2051,1913,25570.06,3099.96,3261,8524,0.87,943.36,913.78,6000,0.0,0.0,-10,0.5,0.33,-10,0
farthest_package_first_MPA,9,4,50,1910,1821,24330.73,2959.0,3142,8399,0.89,901.52,898.1,6000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,0,4,100,3474,3375,47707.65,2646.48,5802,16705,0.96,1692.7,1658.7,12000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,1,4,100,3178,3084,48248.09,2508.64,5808,16755,0.96,1652.54,1601.84,12000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,2,4,100,3157,3048,47637.94,2630.99,5831,16697,0.95,1613.13,1601.21,12000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,3,4,100,3221,3136,45001.37,2031.3,5902,16431,0.93,1573.19,1567.74,12000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,4,4,100,3322,3224,45025.8,2404.78,5925,16436,0.92,1589.95,1588.39,12000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,5,4,100,3188,3062,46342.79,2856.36,5704,16570,0.97,1594.49,1598.74,12000,0.0,0.0,-10,0.5,0.33,-10,0
farthest_package_first_MPA,6,4,100,3168,3068,48096.59,2495.48,5753,16749,0.97,1700.91,1591.16,12000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,7,4,100,3445,3364,47045.91,2271.2,5781,16640,0.96,1629.42,1613.83,12000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,8,4,100,3223,3105,46890.88,2586.48,5733,16625,0.97,1638.03,1613.53,12000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,9,4,100,3268,3156,50623.86,2681.72,6029,16995,0.94,1654.96,1618.54,12000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,0,4,200,5764,5618,61798.53,6432.7,10589,30043,0.95,2908.92,2896.69,24000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,1,4,200,5851,5724,64893.83,6335.12,10739,30363,0.94,2957.84,2901.03,24000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,2,4,200,5914,5758,61493.28,8136.58,10509,30026,0.95,2963.65,2926.71,24000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,3,4,200,6181,6034,59378.02,6280.9,10395,29812,0.96,3011.31,2861.53,24000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,4,4,200,6592,6461,65741.0,6452.52,10726,30447,0.95,3055.28,3010.39,24000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,5,4,200,5844,5707,60606.6,6314.12,10529,29937,0.95,2922.46,2927.72,24000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,6,4,200,6393,6254,60538.93,7806.99,10601,29919,0.94,2987.82,2958.47,24000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,7,4,200,6085,5948,62032.5,5810.8,10568,30067,0.95,2968.9,2895.1,24000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,8,4,200,6326,6189,61848.72,6031.22,10454,30062,0.96,2886.0,2884.97,24000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,9,4,200,6516,6392,63078.16,6306.67,10455,30174,0.96,2950.5,2912.76,24000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,0,4,500,13894,13734,99489.93,13954.83,24316,69617,0.95,6449.99,6505.32,60000,0.0,0.0,0.0,0.5,0.33,0.25,2
farthest_package_first_MPA,1,4,500,14582,14484,97616.82,14038.29,24492,69451,0.95,6912.33,6676.07,60000,0.0,0.0,0.0,0.5,0.33,0.25,3
farthest_package_first_MPA,2,4,500,13948,13781,100799.01,15682.28,24528,69756,0.95,6744.21,6663.64,60000,0.0,0.0,0.0,0.5,0.33,0.25,3
farthest_package_first_MPA,3,4,500,13291,13116,96984.36,16075.43,23981,69376,0.96,6686.23,6597.58,60000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,4,4,500,13350,13159,99344.99,14443.05,24242,69604,0.96,6446.04,6465.55,60000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,5,4,500,13548,13441,97417.64,16431.82,24342,69416,0.95,6625.36,6657.43,60000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,6,4,500,13277,13167,96675.94,16185.93,24265,69318,0.95,6667.68,6634.56,60000,0.0,0.0,0.0,0.5,0.33,0.25,0
farthest_package_first_MPA,7,4,500,13689,13516,101925.4,14908.34,24460,69862,0.95,6762.25,6665.97,60000,0.0,0.0,0.0,0.5,0.33,0.25,2
